atlasId,atlasName,cohortId,name
1770804,No IGS ESS JBO,1770804,No_IGS_ESS_JBO
1770803,IGS ESS JBO,1770803,IGS_ESS_JBO
1770805,Second ESS JBO,1770805,Second_ESS_JBO
